"CTstrict","predicted.celltype.l2","orig.ident","n"
"IGH.1051.IGHV3-21_NA.NA","B naive","P1043MED",1
"IGH.1052.IGHV3-7_IGLC:Cluster.1.IGKV1-5","B intermediate","P1043MED",1
"IGH.1054.IGHV3-7_IGLC:Cluster.13.IGKV1D-39","B naive","P1043MED",1
"IGH.1055.IGHV3-48_IGLC:Cluster.21.IGKV3-20","B memory","P1043MED",1
"IGH.1057.IGHV1-69-2_NA.NA","B naive","P1043MED",1
"IGH.1058.IGHV2-26_NA.NA","B naive","P1043MED",1
"IGH.1059.IGHV1-69-2_IGLC:Cluster.23.IGKV4-1","B naive","P1043MED",1
"IGH.1060.IGHV3-74_IGLC:Cluster.34.IGLV3-1","B intermediate","P1043MED",1
"IGH.1061.IGHV3-7_IGLC:Cluster.16.IGKV2D-28","B intermediate","P1043MED",1
"IGH.1062.IGHV4-39_IGLC:Cluster.13.IGKV1D-39","B intermediate","P1043MED",1
"IGH.1063.IGHV3-7_IGLC:Cluster.19.IGKV3-11","B intermediate","P1043MED",1
"IGH.1064.IGHV3-64_IGLC:Cluster.13.IGKV1D-39","B naive","P1043MED",1
"IGH.1066.IGHV3-21_NA.NA","B naive","P1043MED",1
"IGH.1069.IGHV3-53_NA.NA","B naive","P1043MED",1
"IGH.107.IGHV4-39_IGLC:Cluster.20.IGKV3-15","B intermediate","P1042MED",1
"IGH.1072.IGHV3-21_IGLC:Cluster.7.IGKV1-12","B naive","P1043MED",1
"IGH.1073.IGHV3-33_IGLC:Cluster.9.IGKV1-27","B naive","P1043MED",1
"IGH.1074.IGHV3-30_IGLC:Cluster.23.IGKV4-1","B naive","P1043MED",1
"IGH.1078.IGHV3-48_IGLC:Cluster.30.IGLV2-14","B naive","P1043MED",1
"IGH.1079.IGHV4-39_IGLC:Cluster.17.IGKV2D-29","B naive","P1043MED",1
"IGH.108.IGHV3-7_IGLC:Cluster.29.IGLV2-11","B intermediate","P1042MED",1
"IGH.1080.IGHV1-69_NA.NA","B naive","P1043MED",1
"IGH.1082.IGHV3-33_NA.NA","B memory","P1043MED",1
"IGH.1083.IGHV3-74_NA.NA","B intermediate","P1043MED",1
"IGH.1087.IGHV4-39_IGLC:Cluster.5.IGKV1-9","B naive","P1043MED",1
"IGH.1088.IGHV4-39_NA.NA","B naive","P1043MED",1
"IGH.1089.IGHV3-49_NA.NA","B naive","P1043MED",1
"IGH.109.IGHV3-7_IGLC:Cluster.23.IGKV4-1","B intermediate","P1042MED",1
"IGH.1090.IGHV1-3_IGLC:Cluster.21.IGKV3-20","B intermediate","P1043MED",1
"IGH.1091.IGHV3-7_NA.NA","B intermediate","P1043MED",1
"IGH.1092.IGHV3-23_IGLC:Cluster.20.IGKV3-15","B naive","P1043MED",1
"IGH.1093.IGHV4-31_IGLC:Cluster.19.IGKV3-11","B naive","P1043MED",1
"IGH.1095.IGHV3-30_IGLC:Cluster.37.IGLV3-21","B intermediate","P1043MED",1
"IGH.1096.IGHV1-18_IGLC:Cluster.23.IGKV4-1","B naive","P1043MED",1
"IGH.1097.IGHV1-46_IGLC:Cluster.23.IGKV4-1","B naive","P1043MED",1
"IGH.1099.IGHV4-31_NA.NA","B intermediate","P1043MED",1
"IGH.11.IGHV3-21_IGLC:Cluster.7.IGKV1-12","B intermediate","P1042MED",1
"IGH.110.IGHV3-23_NA.NA","B naive","P1042MED",1
"IGH.1100.IGHV4-59_IGLC:Cluster.17.IGKV2D-29","B intermediate","P1043MED",1
"IGH.1102.IGHV3-23_IGLC:Cluster.20.IGKV3-15","B naive","P1043MED",1
"IGH.1103.IGHV1-2_NA.NA","B naive","P1043MED",1
"IGH.1104.IGHV1-69-2_IGLC:Cluster.29.IGLV2-11","B memory","P1043MED",1
"IGH.1105.IGHV1-2_IGLC:Cluster.34.IGLV3-1","B naive","P1043MED",1
"IGH.1108.IGHV4-34_IGLC:Cluster.13.IGKV1D-39","B naive","P1043MED",1
"IGH.111.IGHV4-39_NA.NA","B naive","P1042MED",1
"IGH.1111.IGHV2-26_IGLC:Cluster.15.IGKV2-30","B naive","P1043MED",1
"IGH.1112.IGHV1-69_NA.NA","B naive","P1043MED",1
"IGH.1114.IGHV3-7_IGLC:Cluster.13.IGKV1D-39","B naive","P1043MED",1
"IGH.1115.IGHV4-61_IGLC:Cluster.13.IGKV1D-39","B naive","P1043MED",1
"IGH.1116.IGHV3-11_NA.NA","B naive","P1043MED",1
"IGH.1117.IGHV5-51_IGLC:Cluster.13.IGKV1D-39","B naive","P1043MED",1
"IGH.1118.IGHV3-21_IGLC:Cluster.13.IGKV1D-39","B naive","P1043MED",1
"IGH.1119.IGHV3-43_IGLC:Cluster.20.IGKV3-15","B naive","P1043MED",1
"IGH.112.IGHV4-61_NA.NA","B naive","P1042MED",1
"IGH.1122.IGHV1-18_NA.NA","B intermediate","P1043MED",1
"IGH.1123.IGHV4-4_IGLC:Cluster.30.IGLV2-14","B naive","P1043MED",1
"IGH.1124.IGHV1-69-2_IGLC:Cluster.21.IGKV3-20","B naive","P1043MED",1
"IGH.1126.IGHV4-39_IGLC:Cluster.37.IGLV3-21","B memory","P1043MED",1
"IGH.1127.IGHV3-23_IGLC:Cluster.13.IGKV1D-39","B intermediate","P1043MED",1
"IGH.1128.IGHV3-23_NA.NA","B intermediate","P1043MED",1
"IGH.1129.IGHV3-33_NA.NA","B naive","P1043MED",1
"IGH.113.IGHV1-2_IGLC:Cluster.30.IGLV2-14","B naive","P1042MED",1
"IGH.1130.IGHV3-23_NA.NA","B naive","P1043MED",1
"IGH.1133.IGHV1-18_IGLC:Cluster.31.IGLV2-18","B naive","P1043MED",1
"IGH.1135.IGHV3-7_IGLC:Cluster.4.IGKV1-8","B intermediate","P1043CD3",1
"IGH.1136.IGHV3-21_IGLC:Cluster.21.IGKV3-20","B intermediate","P1043CD3",1
"IGH.1138.IGHV4-31_NA.NA","CD4 TCM","P1043CD3",1
"IGH.1139.IGHV4-39_NA.NA","B memory","P1043CD3",1
"IGH.1141.IGHV1-3_IGLC.11.IGKV1D-39","B intermediate","P1043CD3",1
"IGH.1142.IGHV4-59_IGLC:Cluster.5.IGKV1-9","CD4 TCM","P1043CD3",1
"IGH.1144.IGHV3-43_IGLC:Cluster.13.IGKV1D-39","B memory","P1043CD3",1
"IGH.1145.IGHV1-18_NA.NA","CD4 TCM","P1043CD3",1
"IGH.1147.IGHV4-39_IGLC:Cluster.19.IGKV3-11","B intermediate","P1043CD3",1
"IGH.1148.IGHV3-30_IGLC:Cluster.19.IGKV3-11","B intermediate","P1043CD3",1
"IGH.1149.IGHV1-46_IGLC:Cluster.23.IGKV4-1","CD4 Proliferating","P1043CD3",1
"IGH.1150.IGHV1-24_NA.NA","B intermediate","P1043CD3",1
"IGH.1151.IGHV3-13_IGLC:Cluster.21.IGKV3-20","CD4 TCM","P1043CD3",1
"IGH.1152.IGHV1-2_NA.NA","B naive","P1043CD3",1
"IGH.1153.IGHV3-23_IGLC:Cluster.20.IGKV3-15","CD4 TCM","P1043CD3",1
"IGH.1154.IGHV1-3_IGLC:Cluster.20.IGKV3-15","CD4 TCM","P1043CD3",1
"IGH.1155.IGHV3-21_IGLC:Cluster.16.IGKV2D-28","cDC2","P1043CD3",1
"IGH.1158.IGHV4-61_IGLC:Cluster.21.IGKV3-20","CD4 TCM","P1043CD3",1
"IGH.1159.IGHV1-46_NA.NA","B intermediate","P1043CD3",1
"IGH.116.IGHV3-7_NA.NA","B naive","P1042MED",1
"IGH.1160.IGHV3-21_IGLC:Cluster.19.IGKV3-11","B naive","P1043CD3",1
"IGH.1162.IGHV1-69-2_IGLC:Cluster.3.IGKV1-6","B intermediate","P1043CD3",1
"IGH.1164.IGHV3-23_IGLC:Cluster.5.IGKV1-9","B intermediate","P1043CD3",1
"IGH.1167.IGHV1-2_IGLC:Cluster.32.IGLV2-23","B intermediate","P1043CD3",1
"IGH.1168.IGHV3-7_IGLC:Cluster.19.IGKV3-11","CD4 TCM","P1043CD3",1
"IGH.1169.IGHV2-5_IGLC.34.IGKV3-15","CD4 TCM","P1043CD3",1
"IGH.117.IGHV3-11_IGLC:Cluster.1.IGKV1-5","B naive","P1042MED",1
"IGH.1172.IGHV1-69_IGLC:Cluster.16.IGKV2D-28","CD4 TCM","P1043CD3",1
"IGH.1174.IGHV4-59_IGLC:Cluster.13.IGKV1D-39","B intermediate","P1043CD3",1
"IGH.1175.IGHV3-23_NA.NA","Plasmablast","P1043CD3",1
"IGH.1176.IGHV3-21_IGLC:Cluster.13.IGKV1D-39","B intermediate","P1043CD3",1
"IGH.1177.IGHV4-31_NA.NA","Plasmablast","P1043CD3",1
"IGH.1179.IGHV3-21_IGLC:Cluster.20.IGKV3-15","B intermediate","P1043CD3",1
"IGH.1180.IGHV4-61_NA.NA","Plasmablast","P1043CD3",1
"IGH.1181.IGHV5-51_NA.NA","B intermediate","P1043CD3",1
"IGH.1182.IGHV3-15_IGLC:Cluster.3.IGKV1-6","Plasmablast","P1043CD3",1
"IGH.1183.IGHV3-49_IGLC:Cluster.10.IGKV1-33","B intermediate","P1043CD3",1
"IGH.1184.IGHV3-48_IGLC:Cluster.13.IGKV1D-39","B naive","P1043CD3",1
"IGH.1186.IGHV1-18_IGLC:Cluster.13.IGKV1D-39","B memory","P1043CD3",1
"IGH.1187.IGHV5-51_IGLC:Cluster.20.IGKV3-15","CD4 Proliferating","P1043CD3",1
"IGH.1188.IGHV3-48_NA.NA","Plasmablast","P1043CD3",1
"IGH.1189.IGHV1-2_IGLC:Cluster.14.IGKV2-24","B memory","P1043CD3",1
"IGH.1190.IGHV4-39_NA.NA","B memory","P1043CD3",1
"IGH.1191.IGHV1-18_IGLC:Cluster.3.IGKV1-6","B intermediate","P1043CD3",1
"IGH.1192.IGHV1-69_IGLC:Cluster.21.IGKV3-20","B memory","P1043CD3",1
"IGH.1194.IGHV3-15_IGLC:Cluster.17.IGKV2D-29","B naive","P1043CD3",1
"IGH.1196.IGHV1-69-2_IGLC:Cluster.20.IGKV3-15","ILC","P1043CD3",1
"IGH.1197.IGHV5-51_IGLC.35.IGKV1D-39","Plasmablast","P1043CD3",1
"IGH.1198.IGHV3-23_NA.NA","B intermediate","P1043CD3",1
"IGH.12.IGHV3-33_IGLC:Cluster.19.IGKV3-11","B naive","P1042MED",1
"IGH.1200.IGHV3-33_NA.NA","Plasmablast","P1043CD3",1
"IGH.1202.IGHV4-61_IGLC:Cluster.13.IGKV1D-39","Plasmablast","P1043CD3",1
"IGH.1203.IGHV2-5_NA.NA","B memory","P1043CD3",1
"IGH.1204.IGHV1-69-2_IGLC:Cluster.13.IGKV1D-39","B intermediate","P1043CD3",1
"IGH.1205.IGHV4-4_NA.NA","B intermediate","P1043CD3",1
"IGH.1206.IGHV2-5_NA.NA","Plasmablast","P1043CD3",1
"IGH.1208.IGHV1-2_NA.NA","B memory","P1043CD3",1
"IGH.1209.IGHV3-33_NA.NA","B memory","P1043CD3",1
"IGH.1211.IGHV3-33_IGLC:Cluster.5.IGKV1-9","B intermediate","P1043CD3",1
"IGH.1214.IGHV2-5_IGLC:Cluster.19.IGKV3-11","Plasmablast","P1043CD3",1
"IGH.1216.IGHV1-24_IGLC:Cluster.21.IGKV3-20","B intermediate","P1043CD3",1
"IGH.1217.IGHV5-51_NA.NA","Plasmablast","P1043CD3",1
"IGH.1220.IGHV3-48_IGLC:Cluster.3.IGKV1-6","B intermediate","P1043CD3",1
"IGH.1221.IGHV3-30_IGLC:Cluster.21.IGKV3-20","Plasmablast","P1043CD3",1
"IGH.1223.IGHV3-7_IGLC:Cluster.30.IGLV2-14","CD4 TCM","P1043CD3",1
"IGH.1224.IGHV3-49_IGLC:Cluster.21.IGKV3-20","B naive","P1043CD3",1
"IGH.1225.IGHV3-48_NA.NA","Plasmablast","P1043CD3",1
"IGH.1227.IGHV5-51_IGLC:Cluster.19.IGKV3-11","CD4 TCM","P1043CD3",1
"IGH.1229.IGHV1-46_IGLC:Cluster.13.IGKV1D-39","CD4 TCM","P1043CD3",1
"IGH.1230.IGHV2-26_IGLC:Cluster.1.IGKV1-5","B memory","P1043CD3",1
"IGH.1234.IGHV2-26_IGLC:Cluster.21.IGKV3-20","Plasmablast","P1043CD3",1
"IGH.1235.IGHV3-23_NA.NA","B intermediate","P1043CD3",1
"IGH.1236.IGHV3-11_NA.NA","B intermediate","P1043CD3",1
"IGH.1237.IGHV4-4_IGLC:Cluster.13.IGKV1D-39","Plasmablast","P1043CD3",1
"IGH.1238.IGHV4-39_NA.NA","B naive","P1043CD3",1
"IGH.1241.IGHV1-69-2_NA.NA","B naive","P1043CD3",1
"IGH.1242.IGHV3-21_NA.NA","Plasmablast","P1043CD3",1
"IGH.1243.IGHV3-7_IGLC:Cluster.13.IGKV1D-39","B naive","P1043CD3",1
"IGH.1244.IGHV3-33_NA.NA","B memory","P1043CD3",1
"IGH.1245.IGHV4-31_IGLC:Cluster.30.IGLV2-14","CD4 TCM","P1043CD3",1
"IGH.1246.IGHV3-23_IGLC:Cluster.1.IGKV1-5","B memory","P1043CD3",1
"IGH.1247.IGHV2-5_IGLC:Cluster.23.IGKV4-1","B naive","P1043CD3",1
"IGH.1248.IGHV1-46_IGLC:Cluster.37.IGLV3-21","B intermediate","P1043CD3",1
"IGH.1249.IGHV3-33_NA.NA","B intermediate","P1043CD3",1
"IGH.1250.IGHV4-34_IGLC:Cluster.14.IGKV2-24","B intermediate","P1043CD3",1
"IGH.1252.IGHV5-51_IGLC:Cluster.7.IGKV1-12","Plasmablast","P1043CD3",1
"IGH.1254.IGHV4-39_NA.NA","B intermediate","P1043CD3",1
"IGH.1255.IGHV3-23_IGLC:Cluster.19.IGKV3-11","B memory","P1043CD3",1
"IGH.1256.IGHV3-23_NA.NA","B intermediate","P1043CD3",1
"IGH.1257.IGHV3-53_IGLC:Cluster.4.IGKV1-8","B intermediate","P1043CD3",1
"IGH.1259.IGHV4-34_IGLC:Cluster.9.IGKV1-27","B memory","P1043CD3",1
"IGH.1260.IGHV3-21_IGLC:Cluster.19.IGKV3-11","CD4 TCM","P1043CD3",1
"IGH.1261.IGHV3-21_IGLC:Cluster.1.IGKV1-5","B intermediate","P1043CD3",1
"IGH.1262.IGHV3-11_IGLC:Cluster.13.IGKV1D-39","CD4 TCM","P1043CD3",1
"IGH.1263.IGHV1-69-2_IGLC:Cluster.19.IGKV3-11","B intermediate","P1043CD3",1
"IGH.1264.IGHV1-46_NA.NA","Plasmablast","P1043CD3",1
"IGH.1265.IGHV3-33_NA.NA","B intermediate","P1043CD3",1
"IGH.1267.IGHV1-69_NA.NA","CD4 TCM","P1043CD3",1
"IGH.1268.IGHV1-69-2_IGLC:Cluster.21.IGKV3D-20","B memory","P1043CD3",1
"IGH.1269.IGHV4-4_NA.NA","Plasmablast","P1043CD3",1
"IGH.1270.IGHV2-5_NA.NA","B naive","P1043CD3",1
"IGH.1271.IGHV4-39_IGLC:Cluster.30.IGLV2-14","Plasmablast","P1043CD3",1
"IGH.1272.IGHV1-18_IGLC:Cluster.19.IGKV3-11","B memory","P1043CD3",1
"IGH.1273.IGHV3-23_NA.NA","B intermediate","P1043CD3",1
"IGH.1276.IGHV3-43_IGLC:Cluster.13.IGKV1D-39","B memory","P1043CD3",1
"IGH.1277.IGHV5-51_IGLC:Cluster.14.IGKV2-24","B intermediate","P1043CD3",1
"IGH.128.IGHV4-59_IGLC:Cluster.4.IGKV1-8","B intermediate","P1042MED",1
"IGH.1280.IGHV4-34_NA.NA","B naive","P1043CD3",1
"IGH.1281.IGHV1-2_NA.NA","B intermediate","P1043CD3",1
"IGH.1282.IGHV3-21_NA.NA","Plasmablast","P1043CD3",1
"IGH.1283.IGHV3-15_NA.NA","CD4 TCM","P1043CD3",1
"IGH.1284.IGHV1-18_IGLC:Cluster.13.IGKV1D-39","B memory","P1043CD3",1
"IGH.1285.IGHV1-18_IGLC:Cluster.29.IGLV2-11","B memory","P1043CD3",1
"IGH.1287.IGHV1-69_IGLC:Cluster.29.IGLV2-11","B memory","P1043CD3",1
"IGH.129.IGHV3-49_NA.NA","B intermediate","P1042MED",1
"IGH.1290.IGHV1-24_NA.NA","B memory","P1043CD3",1
"IGH.1291.IGHV4-4_IGLC:Cluster.1.IGKV1-5","B memory","P1043CD3",1
"IGH.1292.IGHV3-11_IGLC:Cluster.13.IGKV1D-39","B intermediate","P1043CD3",1
"IGH.1294.IGHV1-69-2_IGLC:Cluster.13.IGKV1D-39","B memory","P1043CD3",1
"IGH.1296.IGHV2-5_IGLC:Cluster.1.IGKV1-5","Plasmablast","P1043CD3",1
"IGH.1297.IGHV1-69-2_IGLC:Cluster.23.IGKV4-1","Plasmablast","P1043CD3",1
"IGH.1299.IGHV3-48_IGLC:Cluster.21.IGKV3-20","B intermediate","P1043CD3",1
"IGH.13.IGHV3-21_NA.NA","B naive","P1042MED",1
"IGH.1301.IGHV3-30_IGLC:Cluster.30.IGLV2-14","Plasmablast","P1043CD3",1
"IGH.1302.IGHV3-15_IGLC:Cluster.21.IGKV3-20","B intermediate","P1043CD3",1
"IGH.1303.IGHV3-33_IGLC:Cluster.15.IGKV2-30","B intermediate","P1043CD3",1
"IGH.1304.IGHV4-34_IGLC:Cluster.37.IGLV3-21","B intermediate","P1043CD3",1
"IGH.1309.IGHV3-11_IGLC:Cluster.20.IGKV3-15","B intermediate","P1043CD3",1
"IGH.1310.IGHV3-7_IGLC:Cluster.36.IGLV3-19","B intermediate","P1043CD3",1
"IGH.1311.IGHV4-34_IGLC:Cluster.4.IGKV1-8","B naive","P1043CD3",1
"IGH.1312.IGHV2-5_NA.NA","B intermediate","P1043CD3",1
"IGH.1313.IGHV1-46_IGLC:Cluster.1.IGKV1-5","B intermediate","P1043CD3",1
"IGH.1314.IGHV4-34_IGLC:Cluster.12.IGKV1D-13","B intermediate","P1043CD3",1
"IGH.1316.IGHV2-5_NA.NA","Plasmablast","P1043CD3",1
"IGH.1317.IGHV1-3_IGLC:Cluster.14.IGKV2-24","cDC2","P1043CD3",1
"IGH.1318.IGHV4-4_IGLC:Cluster.21.IGKV3-20","B intermediate","P1043CD3",1
"IGH.1319.IGHV4-59_IGLC:Cluster.10.IGKV1-33","Plasmablast","P1043CD3",1
"IGH.132.IGHV4-61_IGLC:Cluster.12.IGKV1D-13","B intermediate","P1042MED",1
"IGH.1320.IGHV3-48_IGLC:Cluster.19.IGKV3-11","B intermediate","P1043CD3",1
"IGH.1321.IGHV3-33_IGLC:Cluster.1.IGKV1-5","B naive","P1043CD3",1
"IGH.1323.IGHV3-48_IGLC:Cluster.5.IGKV1-9","B intermediate","P1043CD3",1
"IGH.1325.IGHV3-48_NA.NA","B intermediate","P1043CD3",1
"IGH.1326.IGHV1-3_IGLC:Cluster.21.IGKV3-20","B intermediate","P1043CD3",1
"IGH.1327.IGHV3-23_IGLC:Cluster.15.IGKV2-30","CD4 TCM","P1043CD3",1
"IGH.1329.IGHV1-3_IGLC:Cluster.20.IGKV3-15","B intermediate","P1043CD3",1
"IGH.133.IGHV6-1_NA.NA","B naive","P1042MED",1
"IGH.1330.IGHV2-5_NA.NA","B intermediate","P1043CD3",1
"IGH.1334.IGHV3-23_IGLC:Cluster.30.IGLV2-14","B memory","P1043CD3",1
"IGH.1336.IGHV1-18_IGLC:Cluster.20.IGKV3-15","B intermediate","P1043CD3",1
"IGH.1337.IGHV2-5_NA.NA","B intermediate","P1043CD3",1
"IGH.1339.IGHV3-33_IGLC:Cluster.3.IGKV1-6","B intermediate","P1043CD3",1
"IGH.134.IGHV3-11_NA.NA","B naive","P1042MED",1
"IGH.1340.IGHV4-4_IGLC:Cluster.13.IGKV1D-39","CD4 TCM","P1043CD3",4
"IGH.1341.IGHV4-39_NA.NA","B intermediate","P1043CD3",1
"IGH.1342.IGHV3-15_IGLC:Cluster.21.IGKV3-20","B intermediate","P1043CD3",1
"IGH.1344.IGHV4-39_IGLC:Cluster.13.IGKV1D-39","Plasmablast","P1043CD3",1
"IGH.1345.IGHV3-21_IGLC:Cluster.20.IGKV3-15","CD4 TCM","P1043CD3",1
"IGH.1346.IGHV3-53_IGLC:Cluster.13.IGKV1D-39","CD4 TCM","P1043CD3",1
"IGH.1347.IGHV4-31_NA.NA","B naive","P1043CD3",1
"IGH.1349.IGHV3-20_NA.NA","B naive","P1043CD3",1
"IGH.135.IGHV3-23_IGLC:Cluster.24.IGKV5-2","B naive","P1042MED",1
"IGH.1350.IGHV3-23_IGLC:Cluster.1.IGKV1-16","B intermediate","P1043CD3",1
"IGH.1351.IGHV3-48_NA.NA","CD4 TCM","P1043CD3",1
"IGH.1352.IGHV3-21_IGLC:Cluster.19.IGKV3-11","Plasmablast","P1043CD3",1
"IGH.1353.IGHV3-21_NA.NA","Plasmablast","P1043CD3",1
"IGH.1355.IGHV2-5_IGLC:Cluster.20.IGKV3-15","B memory","P1043CD3",1
"IGH.1356.IGHV1-46_NA.NA","B intermediate","P1043CD3",1
"IGH.1357.IGHV4-39_NA.NA","B intermediate","P1043CD3",1
"IGH.1358.IGHV4-61_IGLC:Cluster.13.IGKV1D-39","B intermediate","P1043CD3",1
"IGH.136.IGHV2-5_IGLC:Cluster.16.IGKV2D-28","B naive","P1042MED",1
"IGH.1360.IGHV3-21_IGLC:Cluster.18.IGKV2D-40","CD4 TCM","P1043CD3",2
"IGH.1361.IGHV4-59_IGLC:Cluster.19.IGKV3-11","B memory","P1043CD3",1
"IGH.1363.IGHV3-7_IGLC:Cluster.15.IGKV2-30","B intermediate","P1043CD3",1
"IGH.1365.IGHV3-23_IGLC:Cluster.13.IGKV1D-39","CD4 TCM","P1043CD3",1
"IGH.1366.IGHV4-34_NA.NA","CD4 TCM","P1043CD3",1
"IGH.1369.IGHV1-69_IGLC:Cluster.16.IGKV2D-28","B intermediate","P1043CD3",1
"IGH.137.IGHV1-2_NA.NA","B naive","P1042MED",1
"IGH.1370.IGHV4-34_IGLC:Cluster.20.IGKV3-15","B intermediate","P1043CD3",1
"IGH.1372.IGHV3-7_IGLC:Cluster.16.IGKV2D-28","B intermediate","P1043CD3",1
"IGH.1373.IGHV3-48_NA.NA","B intermediate","P1043CD3",1
"IGH.1375.IGHV4-59_IGLC:Cluster.1.IGKV1-5","B memory","P1043CD3",1
"IGH.1377.IGHV3-23_IGLC:Cluster.21.IGKV3-20","CD4 TCM","P1043CD3",1
"IGH.1378.IGHV3-23_IGLC:Cluster.10.IGKV1-33","B memory","P1043CD3",1
"IGH.1379.IGHV4-34_IGLC:Cluster.23.IGKV4-1","B memory","P1043CD3",1
"IGH.138.IGHV4-34_NA.NA","B intermediate","P1042MED",1
"IGH.1381.IGHV4-61_IGLC:Cluster.18.IGKV2D-40","CD4 TCM","P1043CD3",1
"IGH.1382.IGHV3-23_IGLC:Cluster.1.IGKV1-16","B intermediate","P1043CD3",1
"IGH.1385.IGHV3-15_IGLC:Cluster.37.IGLV3-21","B intermediate","P1043CD3",1
"IGH.1387.IGHV3-49_IGLC:Cluster.13.IGKV1D-39","B memory","P1043CD3",1
"IGH.1388.IGHV3-48_IGLC:Cluster.19.IGKV3-11","B intermediate","P1043CD3",1
"IGH.1389.IGHV3-30_IGLC:Cluster.23.IGKV4-1","B intermediate","P1043CD3",1
"IGH.139.IGHV1-69-2_NA.NA","B naive","P1042MED",1
"IGH.1390.IGHV4-39_IGLC:Cluster.9.IGKV1-27","B memory","P1043CD3",1
"IGH.1392.IGHV5-51_NA.NA","Plasmablast","P1043CD3",1
"IGH.1393.IGHV4-61_NA.NA","Plasmablast","P1043CD3",1
"IGH.1394.IGHV1-69-2_IGLC:Cluster.16.IGKV2D-28","B memory","P1043CD3",1
"IGH.1398.IGHV5-51_IGLC:Cluster.21.IGKV3-20","B intermediate","P1043CD3",1
"IGH.1399.IGHV4-39_NA.NA","Plasmablast","P1043CD3",1
"IGH.1400.IGHV4-4_IGLC:Cluster.21.IGKV3-20","Plasmablast","P1043CD3",1
"IGH.1401.IGHV3-33_NA.NA","Plasmablast","P1043CD3",1
"IGH.1402.IGHV4-39_IGLC:Cluster.13.IGKV1D-39","B memory","P1043CD3",1
"IGH.1403.IGHV3-66_NA.NA","B memory","P1043CD3",1
"IGH.1404.IGHV4-39_IGLC:Cluster.10.IGKV1-33","B intermediate","P1043CD3",1
"IGH.1407.IGHV1-18_NA.NA","B intermediate","P1043CD3",1
"IGH.1408.IGHV4-34_IGLC:Cluster.19.IGKV3-11","Plasmablast","P1043CD3",1
