"CTgene","predicted.celltype.l2","orig.ident","n"
"NA_TRBV10-3.NA.TRBJ1-2.TRBC1","CD4 TCM","P1043HIV",3
"NA_TRBV10-3.NA.TRBJ1-2.TRBC1","CD8 Naive","P1043HIV",1
"NA_TRBV10-3.NA.TRBJ1-3.TRBC1","CD4 Naive","P1042HIV",1
"NA_TRBV10-3.NA.TRBJ1-3.TRBC1","CD4 TCM","P1042HIV",2
"NA_TRBV10-3.NA.TRBJ1-3.TRBC1","CD4 TCM","P1043CD3",1
"NA_TRBV10-3.NA.TRBJ1-4.TRBC1","CD4 TCM","P1042MED",1
"NA_TRBV10-3.NA.TRBJ1-4.TRBC1","CD4 TCM","P1043CD3",1
"NA_TRBV10-3.NA.TRBJ1-5.TRBC1","CD4 Naive","P1043HIV",2
"NA_TRBV10-3.NA.TRBJ1-5.TRBC1","CD4 TCM","P1042HIV",1
"NA_TRBV10-3.NA.TRBJ1-5.TRBC1","CD4 TCM","P1042MED",1
"NA_TRBV10-3.NA.TRBJ1-5.TRBC1","CD8 Naive","P1042CD3",1
"NA_TRBV10-3.NA.TRBJ1-6.TRBC1","CD4 Naive","P1042MED",1
"NA_TRBV10-3.NA.TRBJ1-6.TRBC1","CD4 TCM","JLKMED",1
"NA_TRBV10-3.NA.TRBJ1-6.TRBC1","CD4 TCM","P1043HIV",1
"NA_TRBV10-3.NA.TRBJ1-6.TRBC1","CD8 TEM","P1043CD3",1
"NA_TRBV10-3.NA.TRBJ1-6.TRBC1","CD8 TEM","P1043HIV",1
"NA_TRBV10-3.NA.TRBJ1-6.TRBC1","CD8 TEM","P1043MED",1
"NA_TRBV10-3.NA.TRBJ2-1.TRBC2","CD4 Naive","P1042CD3",1
"NA_TRBV10-3.NA.TRBJ2-1.TRBC2","CD4 Naive","P1042HIV",1
"NA_TRBV10-3.NA.TRBJ2-1.TRBC2","CD4 Naive","P1042MED",1
"NA_TRBV10-3.NA.TRBJ2-1.TRBC2","CD4 Naive","P1043MED",1
"NA_TRBV10-3.NA.TRBJ2-1.TRBC2","CD4 TCM","JLKCD3",1
"NA_TRBV10-3.NA.TRBJ2-1.TRBC2","CD4 TCM","JLKMED",1
"NA_TRBV10-3.NA.TRBJ2-1.TRBC2","CD4 TCM","P1042MED",1
"NA_TRBV10-3.NA.TRBJ2-1.TRBC2","CD4 TCM","P1043CD3",1
"NA_TRBV10-3.NA.TRBJ2-1.TRBC2","CD4 TCM","P1043MED",1
"NA_TRBV10-3.NA.TRBJ2-1.TRBC2","CD8 Naive","P1043MED",1
"NA_TRBV10-3.NA.TRBJ2-1.TRBC2","CD8 TEM","P1042CD3",1
"NA_TRBV10-3.NA.TRBJ2-1.TRBC2","CD8 TEM","P1042HIV",1
"NA_TRBV10-3.NA.TRBJ2-1.TRBC2","Treg","P1043HIV",1
"NA_TRBV10-3.NA.TRBJ2-2.TRBC2","CD4 Naive","P1042HIV",1
"NA_TRBV10-3.NA.TRBJ2-2.TRBC2","CD4 TCM","P1043CD3",2
"NA_TRBV10-3.NA.TRBJ2-2.TRBC2","CD4 TCM","P1043HIV",3
"NA_TRBV10-3.NA.TRBJ2-2.TRBC2","CD4 TCM","P1043MED",1
"NA_TRBV10-3.NA.TRBJ2-2.TRBC2","CD8 Naive","P1043CD3",1
"NA_TRBV10-3.NA.TRBJ2-3.TRBC2","CD4 Naive","P1042HIV",1
"NA_TRBV10-3.NA.TRBJ2-3.TRBC2","CD4 Naive","P1043CD3",1
"NA_TRBV10-3.NA.TRBJ2-3.TRBC2","CD4 Naive","P1043HIV",1
"NA_TRBV10-3.NA.TRBJ2-3.TRBC2","CD4 TCM","P1042CD3",1
"NA_TRBV10-3.NA.TRBJ2-3.TRBC2","CD4 TCM","P1042HIV",1
"NA_TRBV10-3.NA.TRBJ2-3.TRBC2","CD4 TCM","P1042MED",2
"NA_TRBV10-3.NA.TRBJ2-3.TRBC2","CD4 TCM","P1043CD3",1
"NA_TRBV10-3.NA.TRBJ2-3.TRBC2","CD4 TCM","P1043HIV",1
"NA_TRBV10-3.NA.TRBJ2-3.TRBC2","CD4 TCM","P1043MED",1
"NA_TRBV10-3.NA.TRBJ2-3.TRBC2","CD8 Naive","P1042CD3",1
"NA_TRBV10-3.NA.TRBJ2-3.TRBC2","CD8 TEM","P1043HIV",1
"NA_TRBV10-3.NA.TRBJ2-3.TRBC2","Treg","P1043HIV",1
"NA_TRBV10-3.NA.TRBJ2-5.TRBC2","CD4 Naive","P1043CD3",1
"NA_TRBV10-3.NA.TRBJ2-5.TRBC2","CD4 Naive","P1043MED",1
"NA_TRBV10-3.NA.TRBJ2-5.TRBC2","CD4 TCM","JLKMED",1
"NA_TRBV10-3.NA.TRBJ2-5.TRBC2","CD4 TCM","P1042CD3",3
"NA_TRBV10-3.NA.TRBJ2-5.TRBC2","CD4 TCM","P1042HIV",1
"NA_TRBV10-3.NA.TRBJ2-5.TRBC2","CD4 TCM","P1043CD3",2
"NA_TRBV10-3.NA.TRBJ2-5.TRBC2","CD4 TCM","P1043HIV",1
"NA_TRBV10-3.NA.TRBJ2-5.TRBC2","CD4 TCM","P1043MED",2
"NA_TRBV10-3.NA.TRBJ2-5.TRBC2","CD8 Naive","P1042MED",1
"NA_TRBV10-3.NA.TRBJ2-6.TRBC2","CD4 Naive","P1042CD3",1
"NA_TRBV10-3.NA.TRBJ2-7.TRBC2","CD4 Naive","P1043CD3",1
"NA_TRBV10-3.NA.TRBJ2-7.TRBC2","CD4 Naive","P1043HIV",1
"NA_TRBV10-3.NA.TRBJ2-7.TRBC2","CD4 TCM","JLKMED",2
"NA_TRBV10-3.NA.TRBJ2-7.TRBC2","CD4 TCM","P1042HIV",1
"NA_TRBV10-3.NA.TRBJ2-7.TRBC2","CD4 TCM","P1043CD3",2
"NA_TRBV10-3.NA.TRBJ2-7.TRBC2","CD4 TCM","P1043HIV",1
"NA_TRBV10-3.NA.TRBJ2-7.TRBC2","CD4 TCM","P1043MED",2
"NA_TRBV10-3.NA.TRBJ2-7.TRBC2","CD8 Naive","JLKCD3",1
"NA_TRBV10-3.NA.TRBJ2-7.TRBC2","CD8 Naive","P1042HIV",1
"NA_TRBV10-3.NA.TRBJ2-7.TRBC2","CD8 TEM","P1042MED",1
"NA_TRBV10-3.NA.TRBJ2-7.TRBC2","CD8 TEM","P1043MED",1
"NA_TRBV10-3.TRBD1.TRBJ1-1.TRBC1","CD4 TCM","P1042MED",1
"NA_TRBV10-3.TRBD1.TRBJ1-1.TRBC1","CD4 TCM","P1043HIV",1
"NA_TRBV10-3.TRBD1.TRBJ1-1.TRBC1","CD8 TEM","P1043CD3",1
"NA_TRBV10-3.TRBD1.TRBJ1-1.TRBC1","CD8 TEM","P1043MED",1
"NA_TRBV10-3.TRBD1.TRBJ1-2.TRBC1","CD8 TEM","P1043CD3",1
"NA_TRBV10-3.TRBD1.TRBJ1-3.TRBC1","CD4 TCM","JLKCD3",1
"NA_TRBV10-3.TRBD1.TRBJ1-3.TRBC1","CD8 Naive","JLKCD3",1
"NA_TRBV10-3.TRBD1.TRBJ1-4.TRBC1","CD4 Naive","P1043MED",1
"NA_TRBV10-3.TRBD1.TRBJ1-5.TRBC1","CD4 TCM","P1043CD3",1
"NA_TRBV10-3.TRBD1.TRBJ1-5.TRBC1","CD4 TEM","P1043MED",1
"NA_TRBV10-3.TRBD1.TRBJ2-1.TRBC2","CD4 Naive","P1042MED",1
"NA_TRBV10-3.TRBD1.TRBJ2-1.TRBC2","CD4 Naive","P1043CD3",1
"NA_TRBV10-3.TRBD1.TRBJ2-1.TRBC2","CD4 TCM","JLKCD3",1
"NA_TRBV10-3.TRBD1.TRBJ2-1.TRBC2","CD4 TCM","JLKMED",1
"NA_TRBV10-3.TRBD1.TRBJ2-1.TRBC2","CD4 TCM","P1042HIV",1
"NA_TRBV10-3.TRBD1.TRBJ2-2.TRBC2","B intermediate","P1043HIV",1
"NA_TRBV10-3.TRBD1.TRBJ2-2.TRBC2","CD4 Naive","P1043CD3",1
"NA_TRBV10-3.TRBD1.TRBJ2-2.TRBC2","CD4 Naive","P1043HIV",1
"NA_TRBV10-3.TRBD1.TRBJ2-2.TRBC2","CD4 TCM","P1042MED",1
"NA_TRBV10-3.TRBD1.TRBJ2-2.TRBC2","CD8 Naive","P1042HIV",1
"NA_TRBV10-3.TRBD1.TRBJ2-3.TRBC2","CD4 TCM","P1042CD3",1
"NA_TRBV10-3.TRBD1.TRBJ2-4.TRBC2","CD4 TCM","P1043HIV",1
"NA_TRBV10-3.TRBD1.TRBJ2-7.TRBC2","CD4 Naive","P1042HIV",1
"NA_TRBV10-3.TRBD1.TRBJ2-7.TRBC2","CD4 Naive","P1043MED",1
"NA_TRBV10-3.TRBD1.TRBJ2-7.TRBC2","CD4 TCM","P1043CD3",3
"NA_TRBV10-3.TRBD1.TRBJ2-7.TRBC2","CD4 TCM","P1043HIV",1
"NA_TRBV10-3.TRBD2.TRBJ2-1.TRBC2","Treg","P1042MED",1
"NA_TRBV10-3.TRBD2.TRBJ2-3.TRBC2","CD4 Naive","P1042MED",1
"NA_TRBV10-3.TRBD2.TRBJ2-3.TRBC2","CD4 TCM","JLKMED",1
"NA_TRBV10-3.TRBD2.TRBJ2-3.TRBC2","CD4 TCM","P1042HIV",1
"NA_TRBV11-1.NA.TRBJ1-1.TRBC1","CD4 Naive","P1042HIV",1
"NA_TRBV11-1.NA.TRBJ1-1.TRBC1","CD4 Naive","P1043MED",1
"NA_TRBV11-1.NA.TRBJ1-1.TRBC1","CD4 Proliferating","JLKCD3",1
"NA_TRBV11-1.NA.TRBJ1-1.TRBC1","CD4 TCM","JLKCD3",1
"NA_TRBV11-1.NA.TRBJ1-1.TRBC1","CD4 TCM","JLKMED",1
"NA_TRBV11-1.NA.TRBJ1-1.TRBC1","CD4 TCM","P1042HIV",1
"NA_TRBV11-1.NA.TRBJ1-1.TRBC1","CD4 TCM","P1043CD3",1
"NA_TRBV11-1.NA.TRBJ1-1.TRBC1","CD8 TCM","P1043MED",1
"NA_TRBV11-1.NA.TRBJ1-2.TRBC1","CD4 Naive","P1042HIV",2
"NA_TRBV11-1.NA.TRBJ1-2.TRBC1","CD4 Naive","P1042MED",1
"NA_TRBV11-1.NA.TRBJ1-2.TRBC1","CD4 Naive","P1043HIV",1
"NA_TRBV11-1.NA.TRBJ1-2.TRBC1","CD4 TCM","JLKCD3",1
"NA_TRBV11-1.NA.TRBJ1-2.TRBC1","CD4 TCM","P1043CD3",1
"NA_TRBV11-1.NA.TRBJ1-2.TRBC1","CD4 TCM","P1043MED",1
"NA_TRBV11-1.NA.TRBJ1-2.TRBC1","CD8 Naive","JLKCD3",1
"NA_TRBV11-1.NA.TRBJ1-2.TRBC1","CD8 Naive","P1042MED",1
"NA_TRBV11-1.NA.TRBJ1-3.TRBC1","CD4 Naive","P1042HIV",1
"NA_TRBV11-1.NA.TRBJ1-3.TRBC1","CD4 Naive","P1043HIV",1
"NA_TRBV11-1.NA.TRBJ1-3.TRBC1","CD4 TCM","P1043HIV",2
"NA_TRBV11-1.NA.TRBJ1-3.TRBC1","CD4 TCM","P1043MED",2
"NA_TRBV11-1.NA.TRBJ1-4.TRBC1","CD4 Naive","JLKMED",1
"NA_TRBV11-1.NA.TRBJ1-4.TRBC1","CD4 Proliferating","JLKCD3",1
"NA_TRBV11-1.NA.TRBJ1-4.TRBC1","CD4 TCM","JLKCD3",1
"NA_TRBV11-1.NA.TRBJ1-4.TRBC1","CD4 TCM","JLKMED",1
"NA_TRBV11-1.NA.TRBJ1-4.TRBC1","CD8 Naive","P1042HIV",1
"NA_TRBV11-1.NA.TRBJ1-4.TRBC1","CD8 TEM","JLKCD3",1
"NA_TRBV11-1.NA.TRBJ1-5.TRBC1","CD4 Naive","JLKMED",1
"NA_TRBV11-1.NA.TRBJ1-6.TRBC1","CD4 Naive","P1042MED",1
"NA_TRBV11-1.NA.TRBJ1-6.TRBC1","CD8 TEM","JLKCD3",1
"NA_TRBV11-1.NA.TRBJ2-1.TRBC2","CD4 Naive","P1042HIV",2
"NA_TRBV11-1.NA.TRBJ2-1.TRBC2","CD4 Naive","P1042MED",1
"NA_TRBV11-1.NA.TRBJ2-1.TRBC2","CD4 Naive","P1043CD3",1
"NA_TRBV11-1.NA.TRBJ2-1.TRBC2","CD4 Naive","P1043HIV",2
"NA_TRBV11-1.NA.TRBJ2-1.TRBC2","CD4 TCM","JLKCD3",1
"NA_TRBV11-1.NA.TRBJ2-1.TRBC2","CD4 TCM","P1042MED",1
"NA_TRBV11-1.NA.TRBJ2-1.TRBC2","CD4 TCM","P1043CD3",1
"NA_TRBV11-1.NA.TRBJ2-1.TRBC2","CD4 TCM","P1043HIV",3
"NA_TRBV11-1.NA.TRBJ2-1.TRBC2","CD8 Naive","JLKCD3",1
"NA_TRBV11-1.NA.TRBJ2-1.TRBC2","CD8 Naive","JLKMED",1
"NA_TRBV11-1.NA.TRBJ2-1.TRBC2","CD8 Naive","P1042CD3",1
"NA_TRBV11-1.NA.TRBJ2-1.TRBC2","CD8 Naive","P1043CD3",1
"NA_TRBV11-1.NA.TRBJ2-1.TRBC2","CD8 Naive","P1043HIV",2
"NA_TRBV11-1.NA.TRBJ2-1.TRBC2","CD8 Naive","P1043MED",2
"NA_TRBV11-1.NA.TRBJ2-1.TRBC2","CD8 TCM","JLKMED",1
"NA_TRBV11-1.NA.TRBJ2-1.TRBC2","CD8 TEM","JLKMED",1
"NA_TRBV11-1.NA.TRBJ2-1.TRBC2","CD8 TEM","P1043MED",1
"NA_TRBV11-1.NA.TRBJ2-1.TRBC2","MAIT","P1043HIV",1
"NA_TRBV11-1.NA.TRBJ2-1.TRBC2","Treg","P1042HIV",1
"NA_TRBV11-1.NA.TRBJ2-1.TRBC2","dnT","JLKMED",1
"NA_TRBV11-1.NA.TRBJ2-2.TRBC2","CD4 Naive","P1042MED",1
"NA_TRBV11-1.NA.TRBJ2-2.TRBC2","CD4 TCM","P1042MED",1
"NA_TRBV11-1.NA.TRBJ2-2.TRBC2","CD4 TCM","P1043CD3",2
"NA_TRBV11-1.NA.TRBJ2-2.TRBC2","CD4 TCM","P1043HIV",1
"NA_TRBV11-1.NA.TRBJ2-2.TRBC2","CD8 Naive","JLKMED",1
"NA_TRBV11-1.NA.TRBJ2-2.TRBC2","CD8 TEM","JLKCD3",1
"NA_TRBV11-1.NA.TRBJ2-2.TRBC2","Treg","JLKMED",1
"NA_TRBV11-1.NA.TRBJ2-2.TRBC2","Treg","P1043HIV",1
"NA_TRBV11-1.NA.TRBJ2-3.TRBC2","CD4 Naive","P1042HIV",4
"NA_TRBV11-1.NA.TRBJ2-3.TRBC2","CD4 Naive","P1043CD3",1
"NA_TRBV11-1.NA.TRBJ2-3.TRBC2","CD4 Proliferating","JLKCD3",1
"NA_TRBV11-1.NA.TRBJ2-3.TRBC2","CD4 Proliferating","P1042CD3",1
"NA_TRBV11-1.NA.TRBJ2-3.TRBC2","CD4 TCM","JLKCD3",1
"NA_TRBV11-1.NA.TRBJ2-3.TRBC2","CD4 TCM","P1042MED",2
"NA_TRBV11-1.NA.TRBJ2-3.TRBC2","CD4 TCM","P1043CD3",1
"NA_TRBV11-1.NA.TRBJ2-3.TRBC2","CD4 TCM","P1043MED",1
"NA_TRBV11-1.NA.TRBJ2-3.TRBC2","CD8 Naive","JLKCD3",1
"NA_TRBV11-1.NA.TRBJ2-3.TRBC2","CD8 TEM","P1042HIV",1
"NA_TRBV11-1.NA.TRBJ2-4.TRBC2","CD4 Naive","P1042MED",1
"NA_TRBV11-1.NA.TRBJ2-4.TRBC2","CD4 Naive","P1043CD3",1
"NA_TRBV11-1.NA.TRBJ2-4.TRBC2","CD4 TCM","P1042HIV",2
"NA_TRBV11-1.NA.TRBJ2-5.TRBC2","CD4 Naive","P1042HIV",1
"NA_TRBV11-1.NA.TRBJ2-5.TRBC2","CD4 Naive","P1042MED",1
"NA_TRBV11-1.NA.TRBJ2-5.TRBC2","CD4 Naive","P1043MED",1
"NA_TRBV11-1.NA.TRBJ2-5.TRBC2","CD4 TCM","P1042HIV",1
"NA_TRBV11-1.NA.TRBJ2-5.TRBC2","CD4 TCM","P1042MED",1
"NA_TRBV11-1.NA.TRBJ2-5.TRBC2","CD4 TCM","P1043CD3",4
"NA_TRBV11-1.NA.TRBJ2-5.TRBC2","CD4 TCM","P1043HIV",1
"NA_TRBV11-1.NA.TRBJ2-5.TRBC2","CD8 Naive","JLKCD3",1
"NA_TRBV11-1.NA.TRBJ2-5.TRBC2","CD8 Naive","P1042MED",1
"NA_TRBV11-1.NA.TRBJ2-5.TRBC2","CD8 Naive","P1043HIV",1
"NA_TRBV11-1.NA.TRBJ2-5.TRBC2","CD8 TEM","JLKCD3",1
"NA_TRBV11-1.NA.TRBJ2-5.TRBC2","CD8 TEM","P1042MED",1
"NA_TRBV11-1.NA.TRBJ2-5.TRBC2","gdT","P1043HIV",1
"NA_TRBV11-1.NA.TRBJ2-6.TRBC2","CD8 TEM","P1042HIV",1
"NA_TRBV11-1.NA.TRBJ2-7.TRBC2","CD4 Naive","P1042HIV",1
"NA_TRBV11-1.NA.TRBJ2-7.TRBC2","CD4 Naive","P1043CD3",1
"NA_TRBV11-1.NA.TRBJ2-7.TRBC2","CD4 Naive","P1043HIV",2
"NA_TRBV11-1.NA.TRBJ2-7.TRBC2","CD4 Proliferating","JLKCD3",2
"NA_TRBV11-1.NA.TRBJ2-7.TRBC2","CD4 Proliferating","P1042CD3",1
"NA_TRBV11-1.NA.TRBJ2-7.TRBC2","CD4 Proliferating","P1043CD3",1
"NA_TRBV11-1.NA.TRBJ2-7.TRBC2","CD4 TCM","JLKCD3",2
"NA_TRBV11-1.NA.TRBJ2-7.TRBC2","CD4 TCM","P1042HIV",1
"NA_TRBV11-1.NA.TRBJ2-7.TRBC2","CD4 TCM","P1042MED",2
"NA_TRBV11-1.NA.TRBJ2-7.TRBC2","CD4 TCM","P1043CD3",2
"NA_TRBV11-1.NA.TRBJ2-7.TRBC2","CD4 TCM","P1043HIV",1
"NA_TRBV11-1.NA.TRBJ2-7.TRBC2","CD8 Naive","JLKCD3",2
"NA_TRBV11-1.NA.TRBJ2-7.TRBC2","CD8 Naive","P1042MED",3
"NA_TRBV11-1.NA.TRBJ2-7.TRBC2","CD8 Naive","P1043MED",1
"NA_TRBV11-1.NA.TRBJ2-7.TRBC2","CD8 TCM","P1042HIV",1
"NA_TRBV11-1.NA.TRBJ2-7.TRBC2","CD8 TCM","P1042MED",1
"NA_TRBV11-1.NA.TRBJ2-7.TRBC2","CD8 TEM","P1043CD3",1
"NA_TRBV11-1.NA.TRBJ2-7.TRBC2","dnT","JLKCD3",1
"NA_TRBV11-1.TRBD1.TRBJ1-1.TRBC1","dnT","JLKCD3",1
"NA_TRBV11-1.TRBD1.TRBJ1-2.TRBC1","CD14 Mono","P1043HIV",1
"NA_TRBV11-1.TRBD1.TRBJ1-2.TRBC1","CD4 Naive","P1043HIV",1
"NA_TRBV11-1.TRBD1.TRBJ1-2.TRBC1","CD8 Naive","JLKMED",1
"NA_TRBV11-1.TRBD1.TRBJ1-3.TRBC1","CD4 Naive","P1042CD3",1
"NA_TRBV11-1.TRBD1.TRBJ1-4.TRBC1","CD4 TCM","P1042HIV",1
"NA_TRBV11-1.TRBD1.TRBJ2-1.TRBC2","CD4 TCM","P1042HIV",1
"NA_TRBV11-1.TRBD1.TRBJ2-2.TRBC2","CD4 TCM","P1043MED",1
"NA_TRBV11-1.TRBD1.TRBJ2-3.TRBC2","CD4 TCM","P1043CD3",1
"NA_TRBV11-1.TRBD1.TRBJ2-5.TRBC2","CD8 Naive","JLKMED",1
"NA_TRBV11-1.TRBD1.TRBJ2-5.TRBC2","CD8 Naive","P1042HIV",1
"NA_TRBV11-1.TRBD1.TRBJ2-6.TRBC2","CD4 Naive","P1043MED",1
"NA_TRBV11-1.TRBD1.TRBJ2-6.TRBC2","CD8 Naive","JLKCD3",1
"NA_TRBV11-1.TRBD1.TRBJ2-7.TRBC2","CD4 Naive","P1043HIV",1
"NA_TRBV11-1.TRBD1.TRBJ2-7.TRBC2","CD4 TCM","P1043CD3",1
"NA_TRBV11-1.TRBD1.TRBJ2-7.TRBC2","CD8 Naive","JLKMED",1
"NA_TRBV11-1.TRBD1.TRBJ2-7.TRBC2","CD8 Naive","P1042HIV",1
"NA_TRBV11-1.TRBD2.TRBJ2-1.TRBC2","CD4 TCM","P1042HIV",2
"NA_TRBV11-1.TRBD2.TRBJ2-2.TRBC2","CD4 TCM","P1042MED",1
"NA_TRBV11-1.TRBD2.TRBJ2-2.TRBC2","CD4 TCM","P1043HIV",1
"NA_TRBV11-1.TRBD2.TRBJ2-3.TRBC2","CD4 Naive","P1042HIV",1
"NA_TRBV11-1.TRBD2.TRBJ2-5.TRBC2","CD8 Naive","P1043HIV",1
"NA_TRBV11-3.NA.TRBJ1-1.TRBC1","CD4 Naive","P1043HIV",1
"NA_TRBV11-3.NA.TRBJ1-1.TRBC1","CD4 Proliferating","P1043CD3",1
"NA_TRBV11-3.NA.TRBJ1-1.TRBC1","CD4 TCM","P1042HIV",1
"NA_TRBV11-3.NA.TRBJ1-1.TRBC1","CD4 TCM","P1042MED",2
"NA_TRBV11-3.NA.TRBJ1-1.TRBC1","CD4 TCM","P1043HIV",1
"NA_TRBV11-3.NA.TRBJ1-1.TRBC1","CD8 Naive","JLKMED",1
"NA_TRBV11-3.NA.TRBJ1-5.TRBC1","CD8 Naive","P1043HIV",1
"NA_TRBV11-3.NA.TRBJ1-6.TRBC1","CD4 TCM","P1042HIV",1
"NA_TRBV11-3.NA.TRBJ1-6.TRBC1","CD4 TCM","P1043HIV",1
"NA_TRBV11-3.NA.TRBJ2-1.TRBC2","CD4 Naive","P1043CD3",1
"NA_TRBV11-3.NA.TRBJ2-1.TRBC2","CD4 Naive","P1043HIV",1
"NA_TRBV11-3.NA.TRBJ2-1.TRBC2","CD4 Naive","P1043MED",1
"NA_TRBV11-3.NA.TRBJ2-1.TRBC2","CD4 TCM","JLKMED",1
"NA_TRBV11-3.NA.TRBJ2-1.TRBC2","CD4 TCM","P1042CD3",1
"NA_TRBV11-3.NA.TRBJ2-1.TRBC2","CD4 TCM","P1042HIV",2
"NA_TRBV11-3.NA.TRBJ2-1.TRBC2","CD4 TCM","P1043CD3",1
"NA_TRBV11-3.NA.TRBJ2-1.TRBC2","CD4 TCM","P1043HIV",3
"NA_TRBV11-3.NA.TRBJ2-1.TRBC2","CD8 Naive","P1042HIV",1
"NA_TRBV11-3.NA.TRBJ2-1.TRBC2","CD8 Naive","P1043CD3",1
"NA_TRBV11-3.NA.TRBJ2-1.TRBC2","CD8 TEM","JLKMED",1
"NA_TRBV11-3.NA.TRBJ2-1.TRBC2","Treg","P1043MED",1
"NA_TRBV11-3.NA.TRBJ2-2.TRBC2","CD4 TCM","P1043CD3",2
"NA_TRBV11-3.NA.TRBJ2-2.TRBC2","CD4 TCM","P1043HIV",1
"NA_TRBV11-3.NA.TRBJ2-2.TRBC2","CD8 Naive","P1042MED",1
"NA_TRBV11-3.NA.TRBJ2-2.TRBC2","Treg","JLKMED",1
"NA_TRBV11-3.NA.TRBJ2-3.TRBC2","B naive","JLKMED",1
"NA_TRBV11-3.NA.TRBJ2-3.TRBC2","CD4 Naive","P1043CD3",1
"NA_TRBV11-3.NA.TRBJ2-3.TRBC2","CD4 Proliferating","P1043CD3",1
"NA_TRBV11-3.NA.TRBJ2-3.TRBC2","CD4 TCM","JLKCD3",2
"NA_TRBV11-3.NA.TRBJ2-3.TRBC2","CD4 TCM","JLKMED",2
"NA_TRBV11-3.NA.TRBJ2-3.TRBC2","CD4 TCM","P1042HIV",1
"NA_TRBV11-3.NA.TRBJ2-3.TRBC2","CD4 TCM","P1042MED",2
"NA_TRBV11-3.NA.TRBJ2-3.TRBC2","CD4 TCM","P1043CD3",1
"NA_TRBV11-3.NA.TRBJ2-3.TRBC2","CD4 TCM","P1043HIV",2
"NA_TRBV11-3.NA.TRBJ2-3.TRBC2","CD4 TCM","P1043MED",1
"NA_TRBV11-3.NA.TRBJ2-3.TRBC2","CD8 Naive","JLKMED",1
"NA_TRBV11-3.NA.TRBJ2-3.TRBC2","CD8 TEM","JLKCD3",1
"NA_TRBV11-3.NA.TRBJ2-3.TRBC2","CD8 TEM","JLKMED",3
"NA_TRBV11-3.NA.TRBJ2-5.TRBC2","CD4 TCM","P1042MED",1
"NA_TRBV11-3.NA.TRBJ2-5.TRBC2","Treg","JLKCD3",1
"NA_TRBV11-3.NA.TRBJ2-7.TRBC2","CD4 Naive","P1043HIV",1
"NA_TRBV11-3.NA.TRBJ2-7.TRBC2","CD4 TCM","P1042CD3",2
"NA_TRBV11-3.NA.TRBJ2-7.TRBC2","CD4 TCM","P1042MED",1
"NA_TRBV11-3.NA.TRBJ2-7.TRBC2","CD4 TCM","P1043CD3",1
