"CTgene","predicted.celltype.l2","orig.ident","n"
"IGHV1-2.IGHD3-16.IGHJ4.IGHM_NA","B naive","P1043CD3",1
"IGHV1-2.IGHD3-16.IGHJ5.IGHM_IGKV1D-39.IGKJ4.IGKC","B naive","P1042HIV",1
"IGHV1-2.IGHD3-22.IGHJ3.IGHM_NA","B naive","P1043MED",1
"IGHV1-2.IGHD3-22.IGHJ4.IGHM_NA","B naive","P1043HIV",1
"IGHV1-2.IGHD3-22.IGHJ6.IGHM_IGKV2D-28.IGKJ1.IGKC","B naive","P1043MED",1
"IGHV1-2.IGHD3-3.IGHJ5.IGHM_IGKV1-16.IGKJ2.IGKC","B naive","P1043HIV",1
"IGHV1-2.IGHD3-3.IGHJ5.IGHM_IGKV4-1.IGKJ5.IGKC","B memory","P1043CD3",1
"IGHV1-2.IGHD3-3.IGHJ5.IGHM_NA","B naive","P1042MED",1
"IGHV1-2.IGHD3-3.IGHJ6.IGHM_IGKV3-20.IGKJ4.IGKC","B naive","P1042HIV",1
"IGHV1-2.IGHD3-9.IGHJ4.IGHM_IGKV1D-39.IGKJ1.IGKC","B intermediate","P1043CD3",1
"IGHV1-2.IGHD3-9.IGHJ5.IGHM_IGKV2D-28.IGKJ2.IGKC","CD4 Proliferating","P1043CD3",1
"IGHV1-2.IGHD4-17.IGHJ5.IGHM_NA","B naive","P1042HIV",1
"IGHV1-2.NA.IGHJ2.IGHM_NA","B intermediate","P1043CD3",1
"IGHV1-2.NA.IGHJ3.IGHM_IGKV4-1.IGKJ2.IGKC","B naive","P1043MED",1
"IGHV1-2.NA.IGHJ3.IGHM_NA","B intermediate","P1043CD3",1
"IGHV1-2.NA.IGHJ3.IGHM_NA","B intermediate","P1043MED",1
"IGHV1-2.NA.IGHJ3.IGHM_NA","B naive","P1042MED",1
"IGHV1-2.NA.IGHJ3.IGHM_NA","B naive","P1043MED",1
"IGHV1-2.NA.IGHJ4.IGHM_IGKV1-12.IGKJ4.IGKC","B naive","P1043MED",1
"IGHV1-2.NA.IGHJ4.IGHM_IGKV1-5.IGKJ1.IGKC","B intermediate","P1043CD3",1
"IGHV1-2.NA.IGHJ4.IGHM_IGKV3-20.IGKJ1.IGKC","B naive","P1043MED",1
"IGHV1-2.NA.IGHJ4.IGHM_IGKV4-1.IGKJ1.IGKC","B naive","P1043HIV",1
"IGHV1-2.NA.IGHJ4.IGHM_IGLV10-54.IGLJ7.IGLC1","B intermediate","P1043HIV",1
"IGHV1-2.NA.IGHJ4.IGHM_IGLV2-23.IGLJ5.IGLC2","B naive","P1043CD3",1
"IGHV1-2.NA.IGHJ4.IGHM_IGLV3-1.IGLJ7.IGLC1","B naive","P1043MED",1
"IGHV1-2.NA.IGHJ4.IGHM_IGLV3-21.IGLJ7.IGLC1","B naive","P1042HIV",1
"IGHV1-2.NA.IGHJ4.IGHM_NA","B intermediate","P1042HIV",1
"IGHV1-2.NA.IGHJ4.IGHM_NA","B memory","JLKCD3",1
"IGHV1-2.NA.IGHJ4.IGHM_NA","B memory","P1043CD3",1
"IGHV1-2.NA.IGHJ4.IGHM_NA","B naive","JLKCD3",1
"IGHV1-2.NA.IGHJ4.IGHM_NA","B naive","P1042MED",1
"IGHV1-2.NA.IGHJ4.IGHM_NA","B naive","P1043HIV",2
"IGHV1-2.NA.IGHJ4.IGHM_NA","B naive","P1043MED",1
"IGHV1-2.NA.IGHJ4.IGHM_NA","CD4 TCM","P1043CD3",1
"IGHV1-2.NA.IGHJ4.IGHM_NA","Plasmablast","JLKCD3",1
"IGHV1-2.NA.IGHJ4.IGHM_NA","Plasmablast","P1043CD3",2
"IGHV1-2.NA.IGHJ5.IGHG3_IGKV1-16.IGKJ2.IGKC","B memory","JLKCD3",1
"IGHV1-2.NA.IGHJ5.IGHM_IGKV2-24.IGKJ2.IGKC","B intermediate","JLKMED",1
"IGHV1-2.NA.IGHJ5.IGHM_IGKV2-24.IGKJ2.IGKC","B memory","P1043CD3",1
"IGHV1-2.NA.IGHJ5.IGHM_IGKV2D-28.IGKJ3.IGKC","B naive","P1042MED",1
"IGHV1-2.NA.IGHJ5.IGHM_IGKV2D-28.IGKJ3.IGKC","CD4 Proliferating","P1042CD3",1
"IGHV1-2.NA.IGHJ5.IGHM_IGLV2-14.IGLJ7.IGLC1","B naive","P1042MED",1
"IGHV1-2.NA.IGHJ5.IGHM_NA","B intermediate","P1043CD3",1
"IGHV1-2.NA.IGHJ5.IGHM_NA","B memory","JLKCD3",1
"IGHV1-2.NA.IGHJ5.IGHM_NA","B naive","P1043HIV",1
"IGHV1-2.NA.IGHJ5.IGHM_NA","B naive","P1043MED",1
"IGHV1-2.NA.IGHJ6.IGHM_IGKV1-33.IGKJ4.IGKC","CD4 TCM","P1042CD3",1
"IGHV1-2.NA.IGHJ6.IGHM_IGKV1D-39.IGKJ5.IGKC","B naive","P1042HIV",1
"IGHV1-2.NA.IGHJ6.IGHM_IGKV2D-28.IGKJ2.IGKC","B memory","P1043CD3",1
"IGHV1-2.NA.IGHJ6.IGHM_IGKV3-11.IGKJ5.IGKC","B intermediate","P1043MED",1
"IGHV1-2.NA.IGHJ6.IGHM_IGKV3-20.IGKJ1.IGKC","B intermediate","P1043MED",1
"IGHV1-2.NA.IGHJ6.IGHM_IGLV1-44.IGLJ7.IGLC7","B naive","P1043HIV",1
"IGHV1-2.NA.IGHJ6.IGHM_IGLV2-11.IGLJ7.IGLC1","B naive","P1043MED",1
"IGHV1-2.NA.IGHJ6.IGHM_IGLV2-23.IGLJ7.IGLC1","B intermediate","P1043CD3",1
"IGHV1-2.NA.IGHJ6.IGHM_NA","B intermediate","JLKMED",1
"IGHV1-2.NA.IGHJ6.IGHM_NA","B intermediate","P1043CD3",1
"IGHV1-2.NA.IGHJ6.IGHM_NA","B naive","P1042HIV",1
"IGHV1-2.NA.IGHJ6.IGHM_NA","B naive","P1042MED",1
"IGHV1-2.NA.IGHJ6.IGHM_NA","B naive","P1043MED",1
"IGHV1-2.NA.IGHJ6.IGHM_NA","CD4 TCM","P1043CD3",1
"IGHV1-2.NA.IGHJ6.IGHM_NA","Plasmablast","P1042CD3",1
"IGHV1-24.IGHD2-2.IGHJ1.IGHM_NA","cDC2","P1042CD3",1
"IGHV1-24.IGHD3-16.IGHJ4.IGHM_IGKV4-1.IGKJ3.IGKC","cDC2","P1043CD3",1
"IGHV1-24.IGHD6-6.IGHJ5.IGHM_IGLV3-9.IGLJ7.IGLC2","B naive","P1043HIV",1
"IGHV1-24.NA.IGHJ4.IGHA1_IGKV4-1.IGKJ1.IGKC","Plasmablast","JLKCD3",1
"IGHV1-24.NA.IGHJ4.IGHM_IGKV1-5.IGKJ1.IGKC","B naive","P1043HIV",1
"IGHV1-24.NA.IGHJ4.IGHM_IGKV2D-40.IGKJ4.IGKC","B naive","P1043MED",1
"IGHV1-24.NA.IGHJ4.IGHM_IGKV3-20.IGKJ2.IGKC","B intermediate","P1043CD3",1
"IGHV1-24.NA.IGHJ4.IGHM_NA","B intermediate","P1042HIV",1
"IGHV1-24.NA.IGHJ4.IGHM_NA","B intermediate","P1043CD3",2
"IGHV1-24.NA.IGHJ4.IGHM_NA","B memory","P1043CD3",1
"IGHV1-24.NA.IGHJ4.IGHM_NA","CD4 TCM","JLKCD3",1
"IGHV1-24.NA.IGHJ5.IGHM_IGKV3-20.IGKJ3.IGKC","B naive","P1043HIV",1
"IGHV1-24.NA.IGHJ6.IGHM_IGKV3-15.IGKJ4.IGKC","CD4 TCM","P1043CD3",1
"IGHV1-3.IGHD1-1.IGHJ4.IGHM_NA","CD4 Proliferating","P1043CD3",1
"IGHV1-3.IGHD2-15.IGHJ4.IGHM_NA","B naive","P1043CD3",1
"IGHV1-3.IGHD2-15.IGHJ5.IGHM_NA","CD4 TCM","P1042CD3",1
"IGHV1-3.IGHD2-2.IGHJ4.IGHM_IGKV4-1.IGKJ1.IGKC","B naive","JLKMED",1
"IGHV1-3.IGHD2-2.IGHJ4.IGHM_IGLV3-10.IGLJ7.IGLC1","B naive","JLKMED",1
"IGHV1-3.IGHD2-2.IGHJ5.IGHM_NA","B naive","P1042MED",1
"IGHV1-3.IGHD3-10.IGHJ4.IGHM_IGKV2-24.IGKJ5.IGKC","cDC2","P1043CD3",1
"IGHV1-3.IGHD3-22.IGHJ3.IGHM_NA","CD4 Proliferating","P1042CD3",1
"IGHV1-3.IGHD3-22.IGHJ6.IGHM_IGKV1D-39.IGKJ4.IGKC","B naive","P1042MED",1
"IGHV1-3.IGHD3-22.IGHJ6.IGHM_IGKV2D-28.IGKJ1.IGKC","CD4 TCM","P1043CD3",1
"IGHV1-3.IGHD3-3.IGHJ2.IGHM_IGKV3-20.IGKJ3.IGKC","B naive","P1043MED",1
"IGHV1-3.IGHD3-3.IGHJ4.IGHM_IGKV2-30.IGKJ1.IGKC","Plasmablast","P1043CD3",1
"IGHV1-3.IGHD3-3.IGHJ6.IGHM_IGLV2-11.IGLJ7.IGLC1","B naive","JLKMED",1
"IGHV1-3.IGHD3-3.IGHJ6.IGHM_NA","B intermediate","P1042HIV",1
"IGHV1-3.IGHD3-9.IGHJ4.IGHM_NA","B naive","P1043MED",1
"IGHV1-3.IGHD6-13.IGHJ6.IGHM_IGLV3-1.IGLJ7.IGLC1","B naive","JLKMED",1
"IGHV1-3.IGHD6-6.IGHJ4.IGHM_IGKV3-20.IGKJ4.IGKC","B intermediate","P1043CD3",1
"IGHV1-3.IGHD6-6.IGHJ5.IGHM_NA","B intermediate","P1043HIV",1
"IGHV1-3.NA.IGHJ1.IGHM_IGKV1-5.IGKJ2.IGKC","B naive","P1042HIV",1
"IGHV1-3.NA.IGHJ2.IGHM_IGKV3-20.IGKJ1.IGKC","B naive","P1043CD3",1
"IGHV1-3.NA.IGHJ2.IGHM_NA","B naive","P1042HIV",1
"IGHV1-3.NA.IGHJ2.IGHM_NA","CD4 TCM","P1043CD3",1
"IGHV1-3.NA.IGHJ3.IGHM_NA","B naive","P1043HIV",1
"IGHV1-3.NA.IGHJ4.IGHA1_NA","Plasmablast","P1043HIV",2
"IGHV1-3.NA.IGHJ4.IGHG3_NA","B intermediate","JLKCD3",1
"IGHV1-3.NA.IGHJ4.IGHM_IGKV1-33.IGKJ4.IGKC","B naive","P1043MED",1
"IGHV1-3.NA.IGHJ4.IGHM_IGKV1-5.IGKJ4.IGKC","B naive","P1043HIV",1
"IGHV1-3.NA.IGHJ4.IGHM_IGKV1D-13.IGKJ4.IGKC","B naive","P1042MED",1
"IGHV1-3.NA.IGHJ4.IGHM_IGKV2-30.IGKJ2.IGKC","B naive","P1043HIV",1
"IGHV1-3.NA.IGHJ4.IGHM_IGKV2D-40.IGKJ3.IGKC","B naive","P1043HIV",1
"IGHV1-3.NA.IGHJ4.IGHM_IGKV3-11.IGKJ3.IGKC","B naive","P1043HIV",1
"IGHV1-3.NA.IGHJ4.IGHM_IGKV3-15.IGKJ2.IGKC","B intermediate","P1043CD3",1
"IGHV1-3.NA.IGHJ4.IGHM_IGKV3-15.IGKJ2.IGKC","CD14 Mono","P1043HIV",1
"IGHV1-3.NA.IGHJ4.IGHM_IGKV3-15.IGKJ4.IGKC","B intermediate","JLKCD3",1
"IGHV1-3.NA.IGHJ4.IGHM_IGKV3-15.IGKJ4.IGKC","CD4 TCM","P1043CD3",1
"IGHV1-3.NA.IGHJ4.IGHM_IGKV3-20.IGKJ2.IGKC","B intermediate","P1043MED",1
"IGHV1-3.NA.IGHJ4.IGHM_IGKV3-20.IGKJ5.IGKC","B naive","P1043HIV",1
"IGHV1-3.NA.IGHJ4.IGHM_IGKV4-1.IGKJ4.IGKC","B intermediate","P1043MED",1
"IGHV1-3.NA.IGHJ4.IGHM_IGKV4-1.IGKJ5.IGKC","B naive","P1043MED",1
"IGHV1-3.NA.IGHJ4.IGHM_NA","B intermediate","P1042MED",1
"IGHV1-3.NA.IGHJ4.IGHM_NA","B intermediate","P1043HIV",2
"IGHV1-3.NA.IGHJ4.IGHM_NA","B naive","JLKMED",1
"IGHV1-3.NA.IGHJ4.IGHM_NA","B naive","P1042HIV",1
"IGHV1-3.NA.IGHJ4.IGHM_NA","B naive","P1043MED",1
"IGHV1-3.NA.IGHJ5.IGHM_IGKV1-33.IGKJ4.IGKC","B naive","P1043HIV",1
"IGHV1-3.NA.IGHJ5.IGHM_IGKV1D-39.IGKJ4.IGKC","B intermediate","P1043CD3",1
"IGHV1-3.NA.IGHJ5.IGHM_IGKV3-15.IGKJ2.IGKC","B naive","P1043MED",1
"IGHV1-3.NA.IGHJ5.IGHM_IGKV4-1.IGKJ5.IGKC","B naive","P1043HIV",1
"IGHV1-3.NA.IGHJ5.IGHM_IGLV2-14.IGLJ7.IGLC1","B intermediate","P1042HIV",1
"IGHV1-3.NA.IGHJ5.IGHM_NA","B intermediate","P1043HIV",1
"IGHV1-3.NA.IGHJ5.IGHM_NA","B naive","P1042HIV",1
"IGHV1-3.NA.IGHJ5.IGHM_NA","B naive","P1043HIV",1
"IGHV1-3.NA.IGHJ6.IGHD_NA","B naive","P1042MED",1
"IGHV1-3.NA.IGHJ6.IGHM_IGKV1-5.IGKJ2.IGKC","CD4 TCM","P1042CD3",1
"IGHV1-3.NA.IGHJ6.IGHM_IGKV3-20.IGKJ1.IGKC","B intermediate","P1043CD3",1
"IGHV1-3.NA.IGHJ6.IGHM_NA","CD4 TCM","P1042CD3",2
"IGHV1-45.NA.IGHJ3.IGHM_NA","B naive","JLKCD3",1
"IGHV1-46.IGHD1-26.IGHJ1.IGHM_IGKV3-11.IGKJ5.IGKC","B naive","P1043HIV",1
"IGHV1-46.IGHD2-2.IGHJ3.IGHM_IGKV1-8.IGKJ4.IGKC","B naive","P1043HIV",1
"IGHV1-46.IGHD2-8.IGHJ3.IGHM_NA","Plasmablast","P1043CD3",1
"IGHV1-46.IGHD2-8.IGHJ4.IGHM_IGKV4-1.IGKJ1.IGKC","B intermediate","JLKMED",1
"IGHV1-46.IGHD3-10.IGHJ4.IGHM_IGKV1-12.IGKJ5.IGKC","B intermediate","P1043CD3",1
"IGHV1-46.IGHD3-10.IGHJ4.IGHM_IGKV1-33.IGKJ4.IGKC","B intermediate","JLKCD3",1
"IGHV1-46.IGHD3-10.IGHJ5.IGHD_IGLV3-19.IGLJ7.IGLC1","CD4 TCM","P1043CD3",1
"IGHV1-46.IGHD3-3.IGHJ3.IGHM_IGKV1D-39.IGKJ1.IGKC","B naive","P1043MED",1
"IGHV1-46.IGHD3-3.IGHJ4.IGHM_IGKV3-20.IGKJ2.IGKC","B naive","P1042MED",1
"IGHV1-46.IGHD3-3.IGHJ4.IGHM_NA","B intermediate","P1043CD3",1
"IGHV1-46.IGHD3-3.IGHJ4.IGHM_NA","B naive","JLKMED",1
"IGHV1-46.IGHD3-9.IGHJ4.IGHM_IGKV1-33.IGKJ4.IGKC","B intermediate","P1043HIV",1
"IGHV1-46.IGHD4-17.IGHJ3.IGHM_NA","B naive","P1043MED",1
"IGHV1-46.IGHD6-13.IGHJ4.IGHM_IGKV4-1.IGKJ3.IGKC","B naive","P1043MED",1
"IGHV1-46.IGHD6-19.IGHJ4.IGHM_IGKV1D-39.IGKJ1.IGKC","B memory","P1042CD3",1
"IGHV1-46.NA.IGHJ1.IGHM_IGKV1D-39.IGKJ1.IGKC","CD4 TCM","P1043CD3",1
"IGHV1-46.NA.IGHJ2.IGHM_IGKV3-15.IGKJ1.IGKC","B naive","JLKMED",1
"IGHV1-46.NA.IGHJ3.IGHA1_IGKV4-1.IGKJ1.IGKC","B memory","P1043HIV",1
"IGHV1-46.NA.IGHJ3.IGHA1_NA","B memory","P1043MED",1
"IGHV1-46.NA.IGHJ3.IGHG3_IGKV1-17.IGKJ4.IGKC","B intermediate","JLKMED",1
"IGHV1-46.NA.IGHJ3.IGHM_IGKV1-5.IGKJ1.IGKC","B intermediate","P1043CD3",1
"IGHV1-46.NA.IGHJ3.IGHM_IGKV2-30.IGKJ2.IGKC","CD4 TCM","P1043CD3",1
"IGHV1-46.NA.IGHJ3.IGHM_NA","B intermediate","P1043CD3",2
"IGHV1-46.NA.IGHJ3.IGHM_NA","B intermediate","P1043HIV",1
"IGHV1-46.NA.IGHJ4.IGHG1_IGKV3-11.IGKJ3.IGKC","B intermediate","JLKMED",1
"IGHV1-46.NA.IGHJ4.IGHG1_NA","B intermediate","JLKMED",1
"IGHV1-46.NA.IGHJ4.IGHM_IGKV1-12.IGKJ4.IGKC","Plasmablast","P1043CD3",1
"IGHV1-46.NA.IGHJ4.IGHM_IGKV1-16.IGKJ2.IGKC","B intermediate","P1043CD3",1
"IGHV1-46.NA.IGHJ4.IGHM_IGKV1-17.IGKJ4.IGKC","B naive","P1043HIV",1
"IGHV1-46.NA.IGHJ4.IGHM_IGKV1-33.IGKJ4.IGKC","B intermediate","P1042HIV",1
"IGHV1-46.NA.IGHJ4.IGHM_IGKV1-33.IGKJ4.IGKC","B memory","JLKCD3",1
"IGHV1-46.NA.IGHJ4.IGHM_IGKV1D-39.IGKJ1.IGKC","B naive","P1043MED",1
"IGHV1-46.NA.IGHJ4.IGHM_IGKV3-20.IGKJ1.IGKC","B intermediate","JLKCD3",1
"IGHV1-46.NA.IGHJ4.IGHM_IGKV3-20.IGKJ3.IGKC","B intermediate","P1043CD3",1
"IGHV1-46.NA.IGHJ4.IGHM_IGKV4-1.IGKJ3.IGKC","CD4 Proliferating","P1043CD3",1
"IGHV1-46.NA.IGHJ4.IGHM_NA","B intermediate","JLKMED",1
"IGHV1-46.NA.IGHJ4.IGHM_NA","B naive","P1042HIV",1
"IGHV1-46.NA.IGHJ4.IGHM_NA","B naive","P1043HIV",1
"IGHV1-46.NA.IGHJ5.IGHM_IGKV1-8.IGKJ4.IGKC","B memory","P1043CD3",1
"IGHV1-46.NA.IGHJ5.IGHM_IGKV3-11.IGKJ4.IGKC","B naive","P1043MED",1
"IGHV1-46.NA.IGHJ5.IGHM_IGKV3-20.IGKJ2.IGKC","B naive","P1042MED",1
"IGHV1-46.NA.IGHJ6.IGHA1_IGLV3-1.IGLJ7.IGLC2","B memory","P1042HIV",1
"IGHV1-46.NA.IGHJ6.IGHM_IGKV1-12.IGKJ2.IGKC","B memory","P1043CD3",1
"IGHV1-46.NA.IGHJ6.IGHM_IGKV1-17.IGKJ2.IGKC","B intermediate","P1043HIV",1
"IGHV1-46.NA.IGHJ6.IGHM_IGKV1D-39.IGKJ2.IGKC","B naive","P1042HIV",1
"IGHV1-46.NA.IGHJ6.IGHM_IGKV3-11.IGKJ4.IGKC","B naive","P1042HIV",1
"IGHV1-46.NA.IGHJ6.IGHM_IGLV3-21.IGLJ7.IGLC7","B intermediate","P1043CD3",1
"IGHV1-46.NA.IGHJ6.IGHM_NA","B naive","P1042MED",1
"IGHV1-58.IGHD3-22.IGHJ3.IGHM_IGKV4-1.IGKJ1.IGKC","Plasmablast","P1042CD3",1
"IGHV1-58.IGHD3-22.IGHJ6.IGHM_NA","B naive","P1042HIV",1
"IGHV1-58.IGHD3-3.IGHJ2.IGHM_IGKV1-12.IGKJ4.IGKC","B naive","JLKCD3",1
"IGHV1-58.NA.IGHJ3.IGHM_IGKV3-11.IGKJ4.IGKC","B naive","P1043MED",1
"IGHV1-58.NA.IGHJ4.IGHM_IGKV1-12.IGKJ4.IGKC","B intermediate","P1043HIV",1
"IGHV1-58.NA.IGHJ4.IGHM_IGKV3-20.IGKJ1.IGKC","B naive","JLKMED",1
"IGHV1-58.NA.IGHJ4.IGHM_IGLV3-25.IGLJ7.IGLC1","B naive","P1043MED",1
"IGHV1-69-2.IGHD1-26.IGHJ2.IGHM_IGKV3-11.IGKJ2.IGKC","B naive","P1043HIV",1
"IGHV1-69-2.IGHD1-26.IGHJ3.IGHM_NA","B naive","P1043MED",1
"IGHV1-69-2.IGHD1-26.IGHJ4.IGHM_IGKV3-15.IGKJ1.IGKC","B intermediate","JLKCD3",1
"IGHV1-69-2.IGHD2-15.IGHJ4.IGHM_IGKV1D-16.IGKJ4.IGKC","Plasmablast","P1042CD3",1
"IGHV1-69-2.IGHD2-15.IGHJ4.IGHM_IGKV3-20.IGKJ3.IGKC","B intermediate","JLKMED",1
"IGHV1-69-2.IGHD2-15.IGHJ6.IGHM_IGKV1-12.IGKJ3.IGKC","B naive","P1043HIV",1
"IGHV1-69-2.IGHD2-15.IGHJ6.IGHM_IGKV2D-28.IGKJ4.IGKC","B memory","P1043CD3",1
"IGHV1-69-2.IGHD2-15.IGHJ6.IGHM_IGKV3-11.IGKJ5.IGKC","B naive","P1043HIV",1
"IGHV1-69-2.IGHD2-15.IGHJ6.IGHM_IGKV3-20.IGKJ2.IGKC","B naive","P1043MED",1
"IGHV1-69-2.IGHD2-2.IGHJ3.IGHM_IGKV3-11.IGKJ5.IGKC","B intermediate","P1043CD3",1
"IGHV1-69-2.IGHD2-2.IGHJ5.IGHM_NA","B naive","P1042HIV",1
"IGHV1-69-2.IGHD2-2.IGHJ5.IGHM_NA","B naive","P1043HIV",1
